Qual a carne,carnes
Qual a massa,carnes
Combinando com Carne Branca,carnes
Combinando com Carne Vermelha,carnes
Combinando com carne de caça,carnes
Combinando com peixe,carnes
Combinando com bacalhal,carnes
Combinando com carne e massa,carnes
Combinando com massa,carnes
Combinando com queijo,carnes
Combinando com queijo curado,carnes
Peixes e Frutos do Mar.,carnes
Frutos do Mar.,carnes
Queijos Brancos,carnes
Me confirme o endereço de vocês,endereco
Qual a localização,endereco
por favor qual o endereço de vocês,endereco
me de o endereço de vocês,endereco
me diga o endereço de vocês,endereco
qual o endereço de vocês,endereco
vocês aceitam cartões,forma_de_pagamento
pagamento somente a dinheiro,forma_de_pagamento
O que vocês aceitam como forma de pagamento,forma_de_pagamento
quais as formas de pagamento,forma_de_pagamento
posso paga como,forma_de_pagamento
Vou dar um jantar em casa.,jantar
Vou dar um jantar em casa. Qual vinho devo comprar,jantar
Vou dar um jantar em casa. Qual vinho,jantar
Vou dar um jantar,jantar
Vou dar um jantar em casa. Qual vinho devo comprar?,jantar
Qual vinho devo degustar ?,Preferencia_Vinho
Qual é o melhor vinho?,Preferencia_Vinho
que vinhos vocês tem?,Preferencia_Vinho
quais os tipo de vinhos você tem?,Preferencia_Vinho
qual o vinho que você tem ?,Preferencia_Vinho
Adega,Preferencia_Vinho
Qual é o vinho que melhor combina?,Preferencia_Vinho
Pretendo servir queijo como aperitivo.,Preferencia_Vinho
"Tenho um vinho tinto, que prato preparar?",Preferencia_Vinho
Pretendo servir queijo como aperitivo. Qual é o vinho que melhor combina?,Preferencia_Vinho
Vou servir uma massa no almoço. Qual é o vinho que melhor combina?,Preferencia_Vinho
vou servir uma massa no almoço. Qual é o vinho que melhor combina?,refeicao
Vou dar um jantar em casa. Qual vinho devo comprar?,refeicao
vou servir uma massa no almoço.,refeicao
quero comer algo o que vc me recomenda,refeicao
vou almçar,refeicao
Vou dar um jantar em casa.,refeicao
servir queijo como aperitivo.,refeicao
Pretendo servir queijo como aperitivo. Qual é o vinho que melhor combina?,refeicao
frances,tipo_vinho
portugues,tipo_vinho
rose,tipo_vinho
tinto,tipo_vinho
branco,tipo_vinho
chileno,tipo_vinho
Vinho Francês Tinto Les Violettes Côtes Du Rhônes-Villages Garrafa 750 ml (1178469),vinho
Vinho Chileno Branco Chardonnay Garrafa 750 ml (1178413),vinho
Vinho Chileno Rosé Cefiro Garrafa 750 ml (1178414),vinho
ola,vinho
tem vinho,vinho
Vinho Português Branco João Portugal Ramos Alvarinho Garrafa 750 ml (1178407),vinho
Vinho Argentino Tinto Cadus Signture Series Petit Verdot Garrafa 750 ml (1178431),vinho
Vinho Português Branco Dory Colheita Garrafa 750 ml (1178409),vinho
Vinho Francês Tinto Château Haut Fourat Bordeaux Garrafa 750 ml (1164670),vinho
Vinho Português Branco Alentejano Montano Garrafa 750 ml (1178408),vinho
